 1905   -0.219   -0.177   -0.354   -0.167   -0.058   -0.167   -0.049   -0.137   -0.351   -0.247   -0.263   -0.240
 1906   -0.067   -0.028   -0.048   -0.040   -0.155    0.012   -0.003   -0.060   -0.115   -0.137   -0.014   -0.221
 1907   -0.182   -0.345   -0.251   -0.157   -0.145   -0.250   -0.277   -0.312   -0.174   -0.216   -0.224   -0.187
 1908   -0.228   -0.230   -0.237   -0.206   -0.160   -0.061    0.027    0.011   -0.086   -0.118   -0.152   -0.119
 1909   -0.102   -0.140   -0.099   -0.146   -0.004   -0.126   -0.165   -0.081   -0.112   -0.149   -0.289   -0.232
 1910   -0.305   -0.249   -0.258   -0.308   -0.339   -0.359   -0.287   -0.257   -0.104   -0.188   -0.076   -0.240
 1911   -0.251   -0.251   -0.306   -0.318   -0.342   -0.237   -0.166   -0.063   -0.117   -0.112   -0.229   -0.171
 1912   -0.235   -0.258   -0.216   -0.167   -0.114   -0.149   -0.255   -0.393   -0.243   -0.249   -0.221   -0.234
 1913   -0.306   -0.211   -0.224   -0.440   -0.448   -0.565   -0.438   -0.434   -0.427   -0.381   -0.455   -0.326
 1914   -0.223   -0.318   -0.405   -0.384   -0.262   -0.377   -0.431   -0.370   -0.188   -0.113   -0.184   -0.227
 1915   -0.128   -0.116   -0.003    0.052    0.262    0.294    0.318    0.212    0.197    0.029   -0.006    0.011
 1916   -0.039   -0.099   -0.093   -0.118    0.020    0.029   -0.075   -0.016   -0.004   -0.075   -0.240   -0.208
 1917   -0.294   -0.350   -0.401   -0.306   -0.253   -0.152   -0.209   -0.192   -0.282   -0.341   -0.319   -0.259
 1918   -0.101   -0.175   -0.117   -0.178   -0.238   -0.419   -0.367   -0.390   -0.365   -0.258   -0.299   -0.224
 1919   -0.226   -0.059   -0.192   -0.056   -0.164   -0.222   -0.283   -0.190   -0.192   -0.142   -0.227   -0.290
 1920   -0.461   -0.403   -0.451   -0.334   -0.252   -0.281   -0.275   -0.303   -0.276   -0.267   -0.427   -0.303
 1921   -0.290   -0.273   -0.317   -0.263   -0.250   -0.247   -0.108   -0.246   -0.225   -0.054   -0.262   -0.120
 1922   -0.204   -0.241   -0.340   -0.409   -0.317   -0.330   -0.376   -0.308   -0.367   -0.286   -0.350   -0.323
 1923   -0.363   -0.460   -0.403   -0.429   -0.280   -0.313   -0.321   -0.425   -0.369   -0.264   -0.215   -0.060
 1924   -0.130   -0.198   -0.104   -0.057    0.046   -0.097   -0.125   -0.137   -0.204   -0.235   -0.315   -0.287
 1925   -0.325   -0.310   -0.238   -0.179   -0.077   -0.189   -0.144   -0.132   -0.120   -0.087   -0.172    0.046
 1926    0.034    0.107    0.047    0.108    0.125    0.068    0.140    0.052    0.041    0.176    0.026    0.089
 1927    0.080    0.076    0.039    0.067    0.191    0.153    0.154    0.156    0.104    0.172    0.136   -0.025
 1928   -0.047   -0.095   -0.095   -0.100    0.016    0.066    0.085    0.101    0.087    0.041   -0.052   -0.091
 1929   -0.088   -0.101   -0.090   -0.016   -0.111   -0.193   -0.180   -0.155   -0.065   -0.054   -0.115   -0.186
 1930   -0.124   -0.176   -0.095   -0.211   -0.111   -0.081    0.060    0.069    0.287    0.201    0.153    0.142
 1931    0.114    0.065    0.147    0.150    0.224    0.268    0.194    0.151    0.264    0.319    0.058    0.171
 1932    0.176    0.230    0.247    0.211    0.154    0.244    0.270    0.386    0.336    0.238    0.137    0.095
 1933    0.088    0.156    0.090    0.211    0.291    0.243    0.279    0.281    0.243    0.331    0.079    0.002
 1934   -0.112   -0.190   -0.211   -0.094   -0.112    0.033    0.171    0.079    0.142    0.170    0.017   -0.005
 1935    0.042   -0.135   -0.150    0.054    0.141    0.109    0.062    0.005   -0.037   -0.019    0.020    0.100
 1936    0.136    0.145    0.193    0.195    0.167    0.192    0.194    0.213    0.173    0.103    0.018    0.047
 1937    0.054    0.084    0.097    0.068    0.130    0.449    0.610    0.590    0.506    0.296    0.255    0.352
 1938    0.210    0.151    0.198    0.236    0.202    0.167    0.203    0.297    0.307    0.353    0.318    0.217
 1939    0.134    0.077   -0.033    0.094    0.104    0.176    0.324    0.322    0.299    0.009   -0.154   -0.081
 1940    0.061   -0.195   -0.145   -0.033    0.001    0.013    0.095    0.104    0.024   -0.050   -0.133   -0.139
 1941   -0.063    0.094    0.131    0.063    0.036   -0.020    0.087    0.278    0.304    0.415    0.392    0.326
 1942    0.134    0.197    0.192    0.204    0.208    0.259    0.100    0.145    0.223    0.202    0.196    0.091
 1943    0.129    0.096   -0.103   -0.136   -0.124   -0.076    0.016    0.016    0.076    0.080    0.143    0.228
 1944    0.301    0.318    0.423    0.315    0.292    0.347    0.361    0.444    0.418    0.367    0.272    0.274
 1945    0.260    0.349    0.365    0.412    0.310    0.175    0.084    0.108    0.085    0.103    0.185    0.139
 1946    0.278    0.192    0.132    0.063    0.090   -0.099   -0.204   -0.163   -0.016   -0.014   -0.064   -0.033
 1947   -0.173   -0.126   -0.090   -0.095   -0.153   -0.151   -0.155   -0.098   -0.049   -0.088    0.049    0.035
 1948   -0.014   -0.026    0.029   -0.069   -0.003    0.056   -0.038   -0.021   -0.051    0.009    0.136    0.064
 1949    0.155    0.162    0.040    0.100   -0.022    0.003    0.073    0.104    0.072    0.106    0.109    0.119
 1950    0.112   -0.032   -0.104   -0.129   -0.057   -0.041   -0.054    0.022    0.011   -0.089    0.082    0.090
 1951    0.105    0.000    0.014    0.171    0.174    0.291    0.424    0.305    0.251    0.261    0.176    0.176
 1952    0.173    0.184    0.232    0.193    0.182    0.384    0.374    0.405    0.363    0.356    0.252    0.342
 1953    0.267    0.187    0.143    0.315    0.344    0.277    0.345    0.260    0.281    0.150    0.246    0.259
 1954    0.229    0.097    0.102   -0.012    0.071    0.101   -0.043   -0.013   -0.009   -0.031   -0.025   -0.050
 1955    0.077    0.042    0.043    0.097    0.178    0.195    0.270    0.176    0.204    0.281    0.388    0.258
 1956    0.188    0.096    0.015    0.065   -0.056   -0.263   -0.089   -0.097   -0.088   -0.042   -0.085    0.020
 1957   -0.079   -0.105   -0.018   -0.072   -0.120   -0.011    0.041    0.203    0.222    0.151    0.085    0.080
 1958    0.050    0.190    0.345    0.347    0.202    0.222    0.165    0.162    0.213    0.153    0.186    0.220
 1959    0.101    0.115   -0.026   -0.003    0.008   -0.058   -0.031    0.013    0.126    0.113    0.052    0.110
 1960    0.177    0.217    0.089    0.098    0.303    0.320    0.271    0.336    0.212    0.297    0.251    0.138
 1961    0.061    0.082    0.149    0.227    0.194    0.033   -0.018    0.036    0.003    0.030    0.068    0.214
 1962    0.149    0.152    0.166    0.088    0.023   -0.071   -0.008   -0.063    0.004    0.066    0.046    0.190
 1963    0.157    0.166    0.134    0.104   -0.085   -0.047   -0.036   -0.073   -0.202   -0.071   -0.057   -0.060
 1964   -0.075    0.021    0.039   -0.146    0.041    0.004   -0.144   -0.234   -0.220   -0.271   -0.166   -0.121
 1965   -0.199   -0.177   -0.078   -0.097   -0.099   -0.127   -0.188   -0.210   -0.222   -0.248   -0.276   -0.123
 1966   -0.076    0.010   -0.010    0.043    0.001   -0.045   -0.056   -0.044   -0.000    0.013    0.003    0.080
 1967    0.081    0.088   -0.034   -0.016   -0.187   -0.261   -0.231   -0.165   -0.097   -0.100   -0.235   -0.153
 1968   -0.247   -0.199   -0.209   -0.156   -0.124   -0.263   -0.230   -0.214   -0.151   -0.114   -0.109   -0.128
 1969   -0.064    0.104    0.206    0.148    0.010    0.027    0.093   -0.102   -0.108   -0.186   -0.125   -0.032
 1970   -0.011   -0.049    0.018    0.019   -0.047   -0.183   -0.201   -0.141   -0.138   -0.197   -0.241   -0.210
 1971   -0.246   -0.293   -0.311   -0.414   -0.327   -0.363   -0.350   -0.436   -0.367   -0.236   -0.244   -0.309
 1972   -0.318   -0.381   -0.439   -0.327   -0.469   -0.489   -0.375   -0.384   -0.303   -0.287   -0.277   -0.351
 1973   -0.374   -0.394   -0.344   -0.265   -0.169   -0.175   -0.104   -0.133   -0.131   -0.216   -0.209   -0.238
 1974   -0.276   -0.284   -0.401   -0.523   -0.500   -0.447   -0.515   -0.468   -0.506   -0.508   -0.426   -0.361
 1975   -0.273   -0.338   -0.309   -0.345   -0.388   -0.295   -0.271   -0.185   -0.336   -0.353   -0.341   -0.322
 1976   -0.384   -0.441   -0.493   -0.426   -0.488   -0.483   -0.307   -0.185   -0.193   -0.293   -0.415   -0.431
 1977   -0.389   -0.333   -0.182   -0.217   -0.169   -0.107   -0.105   -0.144   -0.231   -0.223   -0.142   -0.204
 1978   -0.105   -0.147   -0.158   -0.194   -0.203   -0.332   -0.276   -0.226   -0.189   -0.206   -0.118   -0.182
 1979   -0.191   -0.150   -0.227   -0.236   -0.116   -0.041   -0.093   -0.114   -0.108   -0.086   -0.084   -0.058
 1980    0.000   -0.077   -0.137    0.001    0.131    0.110    0.052    0.025   -0.006   -0.059   -0.195   -0.247
 1981   -0.175   -0.174    0.008   -0.088   -0.077   -0.055   -0.088   -0.108   -0.029   -0.180   -0.130    0.000
 1982   -0.074   -0.072   -0.074   -0.176   -0.185   -0.177   -0.222   -0.302   -0.301   -0.364   -0.410   -0.373
 1983   -0.291   -0.097    0.088    0.066   -0.041   -0.047   -0.008   -0.151   -0.209   -0.189   -0.151    0.004
 1984   -0.100   -0.081   -0.118   -0.150   -0.159   -0.318   -0.259   -0.219   -0.202   -0.337   -0.417   -0.311
 1985   -0.348   -0.323   -0.349   -0.394   -0.331   -0.121   -0.146   -0.275   -0.241   -0.239   -0.288   -0.330
 1986   -0.336   -0.269   -0.286   -0.318   -0.222   -0.255   -0.242   -0.266   -0.213   -0.312   -0.391   -0.365
 1987   -0.271   -0.211   -0.026    0.036    0.074    0.209    0.286    0.286    0.200    0.053   -0.064    0.049
 1988   -0.036   -0.110   -0.005    0.056    0.142    0.170    0.113   -0.005   -0.092   -0.167   -0.144   -0.161
 1989   -0.218   -0.153   -0.250   -0.287   -0.144    0.094    0.180    0.116   -0.092   -0.120   -0.147   -0.150
 1990   -0.296   -0.159   -0.176   -0.114   -0.056   -0.053   -0.019    0.055    0.150    0.116   -0.051   -0.033
 1991   -0.192   -0.114   -0.067   -0.130   -0.151   -0.127   -0.105   -0.107   -0.035   -0.260   -0.259   -0.212
 1992   -0.189   -0.093   -0.091   -0.183   -0.221   -0.149   -0.218   -0.380   -0.368   -0.299   -0.333   -0.284
 1993   -0.239   -0.186   -0.243   -0.173   -0.163   -0.181   -0.276   -0.228   -0.164   -0.242   -0.318   -0.293
 1994   -0.296   -0.309   -0.279   -0.200   -0.207   -0.222   -0.231   -0.235   -0.152   -0.059   -0.019   -0.091
 1995   -0.062   -0.040    0.016    0.075    0.271    0.364    0.313    0.183    0.053    0.101    0.126    0.041
 1996   -0.010   -0.033   -0.058    0.009   -0.066   -0.124   -0.105   -0.009   -0.002   -0.145   -0.174   -0.156
 1997   -0.092   -0.036    0.004    0.007    0.039    0.008    0.060    0.014    0.109    0.150    0.050    0.131
 1998    0.129    0.291    0.321    0.291    0.383    0.489    0.487    0.512    0.412    0.381    0.316    0.278
 1999    0.050    0.057    0.068    0.051    0.161    0.179    0.197    0.306    0.184    0.016   -0.049    0.014
 2000   -0.084   -0.039    0.103    0.041    0.104   -0.018    0.072    0.102    0.101   -0.041   -0.053   -0.128
 2001   -0.128   -0.027    0.014   -0.013   -0.010    0.198    0.134    0.177    0.285    0.251    0.155    0.213
 2002    0.181    0.164    0.144    0.026   -0.049   -0.117   -0.066    0.106    0.079    0.111    0.019    0.004
 2003    0.050   -0.013    0.112    0.078    0.150    0.205    0.276    0.415    0.451    0.426    0.223    0.224
 2004    0.210    0.209    0.157    0.107    0.005    0.177    0.227    0.316    0.240    0.242    0.220    0.187
 2005    0.110    0.125    0.284    0.291    0.293    0.326    0.446    0.439    0.418    0.237    0.139    0.216
 2006    0.123    0.074    0.059    0.197    0.308    0.333    0.374    0.400    0.363    0.334    0.288    0.171
 2007    0.171    0.217    0.127    0.158    0.111    0.088    0.128    0.054    0.098    0.157    0.176    0.110
 2008    0.030    0.128    0.158    0.042    0.172    0.256    0.205    0.174    0.198    0.102    0.001    0.018
 2009   -0.059   -0.165   -0.160   -0.131   -0.062    0.121    0.228    0.152    0.057    0.164    0.069    0.082
 2010    0.039    0.177    0.287    0.425    0.459    0.447    0.450    0.525    0.449    0.323    0.235    0.207
 2011    0.143    0.108    0.055    0.091    0.151    0.178    0.091    0.146    0.144    0.062   -0.071   -0.045
 2012   -0.065    0.004    0.025    0.080    0.164    0.300    0.375    0.430    0.448    0.329    0.164    0.140
 2013    0.127    0.115    0.158    0.136    0.100    0.046    0.190    0.194    0.254    0.346    0.128    0.036
 2014   -0.063   -0.043   -0.082   -0.094   -0.002    0.061    0.221    0.334    0.309    0.291    0.064    0.058
 2015   -0.009   -0.004   -0.130   -0.072    0.044    0.028    0.131    0.177    0.299    0.324    0.186    0.228
 2016    0.230    0.155    0.187    0.176    0.343    0.408    0.431    0.456    0.457    0.379    0.390    0.334
 2017    0.225    0.226    0.167    0.282    0.313    0.307    0.301    0.309    0.349    0.432    0.351    0.363
 2018    0.172    0.061    0.131    0.063   -0.001   -0.012    0.017    0.112    0.161    0.143   -0.121   -0.061
