1870  -0.261  -0.159   0.336   0.148  -0.266  -0.329  -0.331  -0.212  -0.337  -0.253  -0.138  -0.144
1871  -0.094   0.013  -0.042   0.052   0.097   0.045  -0.124  -0.070   0.059  -0.147   0.053   0.000
1872   0.146   0.214   0.091   0.114   0.067   0.119   0.024  -0.021   0.051   0.106   0.155   0.107
1873   0.238  -0.136  -0.227  -0.073  -0.199  -0.370  -0.374  -0.499  -0.301  -0.111  -0.091  -0.078
1874  -0.198  -0.196  -0.413  -0.554  -0.219  -0.251  -0.028  -0.047  -0.417  -0.763  -0.338  -0.555
1875  -0.256  -0.000   0.078   0.237   0.082   0.114  -0.196   0.055  -0.001  -0.273  -0.626  -0.229
1876  -0.179  -0.324  -0.241  -0.276  -0.249  -0.216  -0.082   0.040   0.290   0.158  -0.091  -0.067
1877  -0.130   0.538   0.292  -0.096  -0.468  -0.287  -0.275   0.512   0.890   0.783   0.808   0.374
1878  -0.079  -0.221   0.143   0.110  -0.144  -0.103  -0.065   0.023   0.166  -0.297  -0.192  -0.236
1879  -0.235  -0.227  -0.280  -0.340  -0.290  -0.070  -0.047  -0.332  -0.210  -0.400  -0.489  -0.371
1880  -0.268  -0.073  -0.156   0.199   0.078  -0.092  -0.211  -0.279  -0.174  -0.369  -0.281  -0.113
1881   0.025  -0.319  -0.182  -0.259   0.077   0.378   0.184   0.222   0.075  -0.074  -0.098  -0.262
1882  -0.369  -0.482   0.017   0.053   0.141   0.134   0.082  -0.195  -0.261  -0.133  -0.103  -0.191
1883  -0.517  -0.024  -0.136   0.079   0.018   0.122   0.033   0.174  -0.124   0.018  -0.086  -0.093
1884  -0.217   0.005  -0.150   0.277   0.459   0.009   0.306  -0.008  -0.092   0.017  -0.206  -0.185
1885  -0.284   0.104  -0.006  -0.007   0.008   0.081   0.096   0.077   0.036   0.147  -0.208  -0.166
1886  -0.427  -0.578  -0.292  -0.078  -0.227  -0.144  -0.411  -0.609  -0.595  -0.508  -0.415  -0.324
1887  -0.275  -0.197  -0.106  -0.053  -0.063   0.045   0.086   0.289   0.096  -0.132  -0.017  -0.064
1888  -0.153  -0.421  -0.558  -0.650  -0.281  -0.215  -0.139  -0.066  -0.139  -0.059  -0.293  -0.224
1889  -0.486  -0.066  -0.491  -0.620  -0.443  -0.347  -0.198  -0.353  -0.528  -0.753  -0.592  -0.169
1890   0.092   0.126  -0.036  -0.013  -0.120  -0.551  -0.594  -0.387  -0.684  -0.776  -0.628  -0.339
1891  -0.125  -0.394  -0.447  -0.095  -0.113   0.108   0.013   0.292   0.309   0.261   0.134   0.288
1892  -0.056  -0.138  -0.033  -0.116  -0.061  -0.275  -0.332  -0.735  -0.785  -0.435  -0.177  -0.264
1893  -0.252  -0.273  -0.239  -0.378  -0.294  -0.306  -0.233  -0.446  -0.297  -0.405  -0.236  -0.132
1894   0.115  -0.072  -0.094  -0.114   0.007   0.118   0.138   0.425   0.055   0.043  -0.015  -0.022
1895  -0.002   0.126   0.054   0.019   0.066   0.093  -0.094   0.224   0.077   0.213  -0.227  -0.139
1896  -0.192  -0.390  -0.388  -0.085   0.009   0.060   0.213   0.161   0.364   0.662   0.293   0.314
1897  -0.010  -0.133  -0.117   0.022   0.039  -0.038   0.065   0.070  -0.176  -0.737  -0.629  -0.509
1898  -0.358  -0.256  -0.161  -0.172  -0.265  -0.214  -0.489  -0.508  -0.501  -0.534  -0.386  -0.238
1899  -0.223  -0.102  -0.001   0.068   0.128  -0.165  -0.250  -0.139  -0.534  -0.049  -0.171  -0.512
1900  -0.283  -0.113  -0.296  -0.121   0.058   0.167  -0.002  -0.183  -0.152  -0.052   0.068  -0.405
1901  -0.354  -0.679  -0.554  -0.317  -0.333  -0.401  -0.393  -0.526  -0.639  -0.392  -0.466  -0.440
1902  -0.272  -0.260  -0.067   0.254   0.168   0.118   0.240   0.629   0.584   0.135   0.213  -0.042
1903  -0.294  -0.382  -0.202  -0.424  -0.044  -0.122  -0.293  -0.143  -0.300  -0.652  -0.356  -0.203
1904  -0.030  -0.042  -0.047   0.174  -0.037  -0.070   0.037  -0.109  -0.292   0.139  -0.078  -0.407
